

----- New session! -----

               | Pressure         | Humidity        | TempOutside      | TempTop      | TempCamera      | DewPoint      
Time: 08:32:34 | Pressure: 1000.0 | Humidity: 0.0 | TempOutside: 0.0 | TempTop: 0.0 | TempCamera: 0.0 | DewPoint: 0.0
Time: 08:32:35 | Pressure: 0.0 | Humidity: 0.0 | TempOutside: 0.0 | TempTop: 0.0 | TempCamera: 0.0 | DewPoint: 0.0
Time: 08:32:36 | Pressure: 1011.4 | Humidity: 46.0 | TempOutside: 24.0 | TempTop: 24.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:32:37 | Pressure: 1011.4 | Humidity: 46.0 | TempOutside: 24.0 | TempTop: 24.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:32:38 | Pressure: 1011.4 | Humidity: 45.0 | TempOutside: 24.0 | TempTop: 24.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:32:39 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 24.0 | TempTop: 24.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:32:40 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 24.0 | TempTop: 24.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:32:41 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 24.0 | TempTop: 24.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:32:42 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 24.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:32:43 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 24.0 | TempTop: 24.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:32:44 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 24.0 | TempTop: 24.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:32:45 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 24.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:32:46 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 24.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:32:47 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 24.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:32:48 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 24.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:32:49 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 24.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:32:50 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 24.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:32:51 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
Time: 08:32:52 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 29.0 | DewPoint: 12.0
